,tokens
0,k=
1,n=
2,http://u
3,>
4,</script>
5,)
6,alert(
7,<script>
8,b0=
9,document.cookie
10,precio=
11,login=
12,nombre=
13,0
14,<h0>
15,</h0>
16,"""maxwel"""
17,<marquee>
18,</marquee>
19,email=
20,password=
21,provincia=
22,dni=
23,cp=
24,ntc=
25,direccion=
26,ciudad=
27,apellidos=
28,pwd=
29,remember=
30,cantidad=
31,</title>
32,string.fromcharcode(
33,'xss'
34,y=
35,x=
36,http://www
37,"""backdoor"""
38,javascript:
39,<script/src=http://kusomiso.com/xss.js>
40,id=
41,"""xss"""
42,/xss/
43,url=
44,submit_vote=
45,user_rating=
46,http://xssed
47,page=
48,submit=
49,</a>
50,"<script 
>"
51,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)"
52,q=
53,<br>
54,</iframe>
55,search=
56,"<iframe src=""http://xssed.com"">"
57,src=
58,cid=
59,itemid=
60,keyword=
61,lang=
62,type=
63,query=
64,"0,0,0))//';alert(string.fromcharcode(0,0,0))//"";alert(string.fromcharcode(0,0,0))//"";alert(string.fromcharcode(0,0,0))//--></script>"">'><script>alert(string.fromcharcode(0,0,0)"
65,task=
66,pop=
67,a=
68,b=
69,option=
70,onmouseover=
71,a(
72,"0,0,0)"
73,/xssed/
74,b(
75,</style>
76,<script src=http://vuln.xssed.net/thirdparty/scripts/python0.js>
77,<p
78,name=
79,/xss/.source)
80,http://kusomiso
81,s=
82,cat=
83,p=
84,</textarea>
85,title=
86,<iframe src=http://google.com>
87,<body onload=alert(0)>
88,ortak=
89,from=
90,strkey=
91,"""scriptorium(turkey)"""
92,<iframe
93,mode=
94,year=
95,<script/src=http://kusomiso.com/x.js>
96,action=
97,<script src=http://vuln.xssed.net/thirdparty/scripts/hotpockets.js>
98,"""bluemax"""
99,/ar0sw0rmed/
100,category=
101,'trex'
102,<iframe src=javascript:alert(0)>
103,<iframe src=http://www.google.de>
104,keywords=
105,'xssed'
106,"<marquee bgcolor=""red"">"
107,site=
108,"<""<<script>"
109,document.domain
110,'x'
111,sort=
112,</font>
113,<!--
114,w=
115,onerror=
116,"""cyber"""
117,start=
118,http://localhost
119,backdoor
120,</div>
121,t=
122,"0,0,0,0,0,0,0,0,0,0,0,0)"
123,setday=
124,no=
125,<iframe src=http://xssed.com>
126,"0,0,0,0,0,0,0,0,0,0,0,0))//';alert(string.fromcharcode(0,0,0,0,0,0,0,0,0,0,0,0))//"";alert(string.fromcharcode(0,0,0,0,0,0,0,0,0,0,0,0))//"";alert(string.fromcharcode(0,0,0,0,0,0,0,0,0,0,0,0))//--></script>"">'><script>alert(string.fromcharcode(0,0,0,0,0,0,0,0,0,0,0,0)"
127,<script src=http://starext.by.ru/lt.js>
128,<center>
129,"""scriptorium(turkey)hackhaber.com"""
130,c=
131,setdate=
132,l=
133,<script
134,document.write(
135,<script src=http://vuln.xssed.net/thirdparty/scripts/ckers.org.js>
136,</marque>
137,ref=
138,prompt(
139,tag=
140,http://uber0n
141,sid=
142,lid=
143,searchtype=
144,"""fugitif"""
145,0:
146,"<body onload=alert(""by encore"")>"
147,"""xssed"""
148,http://google
149,<iframe onload=alert(/xss/)>
150,r=
151,"""document.cookie"""
152,</center>
153,results=
154,location=
155,type:
156,pid=
157,/xss/.source
158,view=
159,/the-sh0ck-b0y/
160,form=
161,/www.r0t.n0t.nl/
162,java:
163,month=
164,m=
165,country=
166,language=
167,ie=
168,o=
169,submit0=
170,recpag=
171,dil=
172,qs=
173,<img src=k.png onerror=alert(/xss/.source) />
174,window.open(
175,act=
176,http://vuln
177,words=
178,ts=
179,searchstring=
180,search_type=
181,/st@r-gaz0r/
182,/zeryus/
183,st=
184,text=
185,<</script>
186,searchterm=
187,key=
188,d=
189,length:
190,'http://www.xssed.com'
191,"""cyber-warrior.org"""
